payment_id,merchant_id,cause,needs_human,difference_paise,ledger_paise,settlement_paise,captured_ts,refunded_ts,utrs,bank_captured_on,settled_on,remarks
pay_000009003489,M10588136,missing_never_settled,True,49966,49966,,2025-09-15 03:00:53,,,,,
pay_000009003869,M92516134,missing_never_settled,True,99921,99921,,2025-09-15 14:25:38,,,,,
pay_000009004732,M26615659,missing_never_settled,True,24969,24969,,2025-09-15 11:10:38,,,,,
pay_000009006001,M44929059,missing_never_settled,True,99957,99957,,2025-09-15 03:50:18,,,,,
pay_000009007557,M17935299,missing_never_settled,True,49966,49966,,2025-09-15 03:12:43,,,,,
pay_000009008272,M63947826,missing_never_settled,True,24954,24954,,2025-09-15 11:46:36,,,,,
pay_000009013716,M54920657,missing_never_settled,True,199925,199925,,2025-09-15 01:07:01,,,,,
pay_000009001342,M62159117,settled_twice,True,-49999,49999,99998,2025-09-15 14:40:19,,"UTR5001342,UTR5001343",2025-09-15,2025-09-15,RESUBMIT
pay_000009010337,M92568984,settled_twice,True,-599985,599985,1199970,2025-09-15 04:30:05,,"UTR5010332,UTR5010333",2025-09-15,2025-09-15,RESUBMIT
pay_000009010918,M27569871,settled_twice,True,-599918,599918,1199836,2025-09-15 16:22:31,,"UTR5010914,UTR5010915",2025-09-15,2025-09-15,RESUBMIT
pay_000009012489,M92891774,settled_twice,True,-49954,49954,99908,2025-09-15 12:20:25,,"UTR5012486,UTR5012487",2025-09-15,2025-09-15,RESUBMIT
pay_000009013218,M50559107,settled_twice,True,-24923,24923,49846,2025-09-15 11:05:13,,"UTR5013216,UTR5013217",2025-09-15,2025-09-15,RESUBMIT
pay_000009000686,M52511408,refund_after_cutoff,False,-1249956,0,1249956,2025-09-15 13:31:18,2025-09-15 22:12:08,UTR5000686,2025-09-15,2025-09-15,
pay_000009001763,M52044167,refund_after_cutoff,False,-199982,0,199982,2025-09-15 06:55:06,2025-09-15 18:08:26,UTR5001764,2025-09-15,2025-09-15,
pay_000009002253,M86648354,refund_after_cutoff,False,-19951,0,19951,2025-09-15 02:09:15,2025-09-15 20:44:26,UTR5002254,2025-09-15,2025-09-15,
pay_000009003152,M60820053,refund_after_cutoff,False,-99995,99995,199990,2025-09-15 13:04:19,2025-09-15 21:25:01,UTR5003153,2025-09-15,2025-09-15,
pay_000009003610,M79139260,refund_after_cutoff,False,-149996,0,149996,2025-09-15 16:28:49,2025-09-15 23:26:56,UTR5003610,2025-09-15,2025-09-15,
pay_000009003861,M87150816,refund_after_cutoff,False,-24906,0,24906,2025-09-15 07:26:28,2025-09-15 22:03:03,UTR5003861,2025-09-15,2025-09-15,
pay_000009005405,M91369117,refund_after_cutoff,False,-9957,9957,19914,2025-09-15 03:57:59,2025-09-15 23:57:29,UTR5005403,2025-09-15,2025-09-15,
pay_000009005677,M25658844,refund_after_cutoff,False,-99954,99954,199908,2025-09-15 11:14:16,2025-09-15 19:31:46,UTR5005675,2025-09-15,2025-09-15,
pay_000009006069,M47392676,refund_after_cutoff,False,-624953,624953,1249906,2025-09-15 12:35:56,2025-09-15 22:45:03,UTR5006066,2025-09-15,2025-09-15,
pay_000009006788,M71850959,refund_after_cutoff,False,-199941,0,199941,2025-09-15 14:53:54,2025-09-15 20:38:22,UTR5006785,2025-09-15,2025-09-15,
pay_000009008446,M96590861,refund_after_cutoff,False,-1249947,0,1249947,2025-09-15 02:56:17,2025-09-15 21:18:40,UTR5008441,2025-09-15,2025-09-15,
pay_000009009357,M44929059,refund_after_cutoff,False,-174991,174992,349983,2025-09-15 00:57:34,2025-09-15 20:36:56,UTR5009352,2025-09-15,2025-09-15,
pay_000009009661,M58602600,refund_after_cutoff,False,-19940,0,19940,2025-09-15 06:31:54,2025-09-15 23:52:04,UTR5009656,2025-09-15,2025-09-15,
pay_000009009849,M49098767,refund_after_cutoff,False,-99962,99962,199924,2025-09-15 07:19:16,2025-09-15 18:51:35,UTR5009844,2025-09-15,2025-09-15,
pay_000009011848,M30644274,refund_after_cutoff,False,-9993,0,9993,2025-09-15 07:04:22,2025-09-15 20:33:01,UTR5011845,2025-09-15,2025-09-15,
pay_000009012316,M39836711,refund_after_cutoff,False,-49986,49987,99973,2025-09-15 01:35:34,2025-09-15 18:15:02,UTR5012313,2025-09-15,2025-09-15,
pay_000009012389,M72569289,refund_after_cutoff,False,-12457,12457,24914,2025-09-15 00:50:14,2025-09-15 21:06:46,UTR5012386,2025-09-15,2025-09-15,
pay_000009014227,M96887220,refund_after_cutoff,False,-174979,174979,349958,2025-09-15 12:09:35,2025-09-15 19:29:00,UTR5014225,2025-09-15,2025-09-15,
pay_000009014242,M20514625,refund_after_cutoff,False,-99967,99967,199934,2025-09-15 11:08:52,2025-09-15 22:17:28,UTR5014240,2025-09-15,2025-09-15,
pay_000009014259,M84980419,refund_after_cutoff,False,-9980,9981,19961,2025-09-15 12:44:07,2025-09-15 20:55:43,UTR5014257,2025-09-15,2025-09-15,
pay_000009014667,M12210990,refund_after_cutoff,False,-75001,75001,150002,2025-09-15 12:49:50,2025-09-15 23:43:28,UTR5014665,2025-09-15,2025-09-15,
pay_000009014744,M84968670,refund_after_cutoff,False,-199978,0,199978,2025-09-15 08:01:04,2025-09-15 22:47:14,UTR5014742,2025-09-15,2025-09-15,
pay_000009014857,M96048437,refund_after_cutoff,False,-150004,0,150004,2025-09-15 16:04:19,2025-09-15 21:50:31,UTR5014855,2025-09-15,2025-09-15,
pay_000009015308,M39836711,refund_after_cutoff,False,-624973,624973,1249946,2025-09-15 06:34:19,2025-09-15 19:11:11,UTR5015306,2025-09-15,2025-09-15,
pay_000009015672,M44042718,refund_after_cutoff,False,-24981,0,24981,2025-09-15 09:54:56,2025-09-15 20:50:28,UTR5015670,2025-09-15,2025-09-15,
pay_000009015749,M44098401,refund_after_cutoff,False,-624952,624953,1249905,2025-09-15 14:58:47,2025-09-15 23:20:33,UTR5015747,2025-09-15,2025-09-15,
pay_000009016257,M65473271,refund_after_cutoff,False,-12479,12479,24958,2025-09-15 08:28:56,2025-09-15 21:20:01,UTR5016255,2025-09-15,2025-09-15,
pay_000009000336,M95735003,rounding,False,-1,199939,199940,2025-09-15 16:39:52,,UTR5000336,2025-09-15,2025-09-15,
pay_000009001587,M68826427,rounding,False,-1,19935,19936,2025-09-15 08:20:17,,UTR5001588,2025-09-15,2025-09-15,
pay_000009002145,M30410607,rounding,False,1,99909,99908,2025-09-15 00:01:31,,UTR5002146,2025-09-15,2025-09-15,
pay_000009002541,M18091245,rounding,False,1,19911,19910,2025-09-15 14:18:02,,UTR5002542,2025-09-15,2025-09-15,
pay_000009003063,M78736512,rounding,False,-1,599986,599987,2025-09-15 16:21:32,,UTR5003064,2025-09-15,2025-09-15,
pay_000009004085,M32420428,rounding,False,-1,49902,49903,2025-09-15 04:11:38,,UTR5004084,2025-09-15,2025-09-15,
pay_000009005188,M86171298,rounding,False,1,99976,99975,2025-09-15 14:10:59,,UTR5005186,2025-09-15,2025-09-15,
pay_000009005238,M47392676,rounding,False,-1,349995,349996,2025-09-15 07:23:33,,UTR5005236,2025-09-15,2025-09-15,
pay_000009006547,M64828960,rounding,False,1,24997,24996,2025-09-15 11:17:58,,UTR5006544,2025-09-15,2025-09-15,
pay_000009006613,M15219201,rounding,False,1,199931,199930,2025-09-15 13:42:44,,UTR5006610,2025-09-15,2025-09-15,
pay_000009006892,M95262453,rounding,False,1,599998,599997,2025-09-15 13:18:44,,UTR5006889,2025-09-15,2025-09-15,
pay_000009007619,M15740429,rounding,False,-1,599977,599978,2025-09-15 04:32:27,,UTR5007615,2025-09-15,2025-09-15,
pay_000009008421,M36902587,rounding,False,1,349915,349914,2025-09-15 02:09:43,,UTR5008416,2025-09-15,2025-09-15,
pay_000009010797,M84959366,rounding,False,1,19989,19988,2025-09-15 05:32:23,,UTR5010793,2025-09-15,2025-09-15,
pay_000009012242,M86128513,rounding,False,-1,599972,599973,2025-09-15 11:07:12,,UTR5012239,2025-09-15,2025-09-15,
pay_000009012301,M91369117,rounding,False,-1,19961,19962,2025-09-15 12:57:02,,UTR5012298,2025-09-15,2025-09-15,
pay_000009013831,M89074272,rounding,False,-1,49901,49902,2025-09-15 17:27:06,,UTR5013829,2025-09-15,2025-09-15,
pay_000009014013,M44884581,rounding,False,1,349956,349955,2025-09-15 16:20:18,,UTR5014011,2025-09-15,2025-09-15,
pay_000009014328,M27569871,rounding,False,-1,1249991,1249992,2025-09-15 04:48:20,,UTR5014326,2025-09-15,2025-09-15,
pay_000009014471,M98721314,rounding,False,1,1249994,1249993,2025-09-15 17:23:43,,UTR5014469,2025-09-15,2025-09-15,
pay_000009014563,M24047359,rounding,False,1,349934,349933,2025-09-15 16:22:01,,UTR5014561,2025-09-15,2025-09-15,
pay_000009015141,M10116189,rounding,False,1,199952,199951,2025-09-15 04:27:23,,UTR5015139,2025-09-15,2025-09-15,
pay_000009015322,M65502006,rounding,False,1,49977,49976,2025-09-15 16:03:08,,UTR5015320,2025-09-15,2025-09-15,
pay_000009015897,M88380679,rounding,False,1,49978,49977,2025-09-15 12:59:35,,UTR5015895,2025-09-15,2025-09-15,
pay_000009016130,M68621284,rounding,False,1,199908,199907,2025-09-15 15:45:07,,UTR5016128,2025-09-15,2025-09-15,
pay_000009017328,M66585753,rounding,False,-1,1249954,1249955,2025-09-15 11:10:56,,UTR5017326,2025-09-15,2025-09-15,
pay_000009017542,M53392764,rounding,False,1,150035,150034,2025-09-15 17:00:59,,UTR5017540,2025-09-15,2025-09-15,
pay_000009018001,M52511408,timing_captured_after_cutoff,False,349907,349907,,2025-09-15 21:32:49,,,,,
pay_000009018002,M96087378,timing_captured_after_cutoff,False,349950,349950,,2025-09-15 20:02:19,,,,,
pay_000009018003,M76671061,timing_captured_after_cutoff,False,150035,150035,,2025-09-15 19:11:23,,,,,
pay_000009018004,M17935299,timing_captured_after_cutoff,False,150055,150055,,2025-09-15 20:04:13,,,,,
pay_000009018005,M16836277,timing_captured_after_cutoff,False,1249910,1249910,,2025-09-15 19:21:01,,,,,
pay_000009018006,M57153232,timing_captured_after_cutoff,False,349947,349947,,2025-09-15 22:46:30,,,,,
pay_000009018007,M30352926,timing_captured_after_cutoff,False,19929,19929,,2025-09-15 18:00:41,,,,,
pay_000009018008,M61015717,timing_captured_after_cutoff,False,24922,24922,,2025-09-15 18:38:57,,,,,
pay_000009018009,M81570610,timing_captured_after_cutoff,False,1249946,1249946,,2025-09-15 19:28:57,,,,,
pay_000009018010,M71867858,timing_captured_after_cutoff,False,99903,99903,,2025-09-15 22:10:42,,,,,
pay_000009018011,M19532942,timing_captured_after_cutoff,False,149995,149995,,2025-09-15 23:56:30,,,,,
pay_000009018012,M92715158,timing_captured_after_cutoff,False,349939,349939,,2025-09-15 22:46:45,,,,,
pay_000009018013,M38543824,timing_captured_after_cutoff,False,9952,9952,,2025-09-15 22:33:36,,,,,
pay_000009018014,M44929059,timing_captured_after_cutoff,False,349969,349969,,2025-09-15 22:06:37,,,,,
pay_000009018015,M62798018,timing_captured_after_cutoff,False,19983,19983,,2025-09-15 18:41:12,,,,,
pay_000009018016,M92715158,timing_captured_after_cutoff,False,9954,9954,,2025-09-15 19:56:13,,,,,
pay_000009018017,M81492094,timing_captured_after_cutoff,False,199927,199927,,2025-09-15 21:25:39,,,,,
pay_000009018018,M18694053,timing_captured_after_cutoff,False,9921,9921,,2025-09-15 22:25:32,,,,,
pay_000009018019,M27569871,timing_captured_after_cutoff,False,199930,199930,,2025-09-15 20:47:03,,,,,
pay_000009018020,M63947826,timing_captured_after_cutoff,False,49989,49989,,2025-09-15 22:44:49,,,,,
pay_000009018021,M65003880,timing_captured_after_cutoff,False,1249948,1249948,,2025-09-15 19:04:28,,,,,
pay_000009018022,M90384840,timing_captured_after_cutoff,False,9961,9961,,2025-09-15 18:22:14,,,,,
pay_000009018023,M83577785,timing_captured_after_cutoff,False,599940,599940,,2025-09-15 20:44:54,,,,,
pay_000009018024,M90554074,timing_captured_after_cutoff,False,24928,24928,,2025-09-15 22:32:55,,,,,
pay_000009018025,M86128513,timing_captured_after_cutoff,False,150010,150010,,2025-09-15 23:55:28,,,,,
pay_000009018026,M58570562,timing_captured_after_cutoff,False,199902,199902,,2025-09-15 23:47:27,,,,,
pay_000009018027,M11679602,timing_captured_after_cutoff,False,199923,199923,,2025-09-15 22:22:13,,,,,
pay_000009018028,M71091942,timing_captured_after_cutoff,False,9999,9999,,2025-09-15 23:03:20,,,,,
pay_000009018029,M11605963,timing_captured_after_cutoff,False,99997,99997,,2025-09-15 21:59:41,,,,,
pay_000009018030,M31108700,timing_captured_after_cutoff,False,49910,49910,,2025-09-15 18:33:21,,,,,
pay_000009018031,M89532034,timing_captured_after_cutoff,False,150066,150066,,2025-09-15 18:40:31,,,,,
pay_000009018032,M19051462,timing_captured_after_cutoff,False,99939,99939,,2025-09-15 20:22:05,,,,,
pay_000009018033,M25925425,timing_captured_after_cutoff,False,150055,150055,,2025-09-15 19:02:43,,,,,
pay_000009018034,M32854706,timing_captured_after_cutoff,False,99995,99995,,2025-09-15 18:41:21,,,,,
pay_000009018035,M68621284,timing_captured_after_cutoff,False,199913,199913,,2025-09-15 23:34:54,,,,,
pay_000009018036,M14431382,timing_captured_after_cutoff,False,9935,9935,,2025-09-15 22:10:19,,,,,
pay_000009018037,M91408484,timing_captured_after_cutoff,False,149990,149990,,2025-09-15 18:14:31,,,,,
pay_000009018038,M60820053,timing_captured_after_cutoff,False,19964,19964,,2025-09-15 18:23:15,,,,,
pay_000009018039,M71850959,timing_captured_after_cutoff,False,599987,599987,,2025-09-15 22:48:14,,,,,
pay_000009018040,M96756171,timing_captured_after_cutoff,False,49955,49955,,2025-09-15 23:25:36,,,,,
pay_000009018041,M49186036,timing_captured_after_cutoff,False,1249917,1249917,,2025-09-15 22:41:48,,,,,
pay_000009018042,M41978779,timing_captured_after_cutoff,False,99902,99902,,2025-09-15 18:49:36,,,,,
pay_000009018043,M18434450,timing_captured_after_cutoff,False,150087,150087,,2025-09-15 18:01:19,,,,,
pay_000009018044,M96342512,timing_captured_after_cutoff,False,599922,599922,,2025-09-15 20:02:11,,,,,
pay_000009018045,M19418093,timing_captured_after_cutoff,False,1249990,1249990,,2025-09-15 19:11:10,,,,,
pay_000009018046,M42427010,timing_captured_after_cutoff,False,19964,19964,,2025-09-15 19:21:28,,,,,
pay_000009018047,M78845227,timing_captured_after_cutoff,False,349959,349959,,2025-09-15 18:12:19,,,,,
pay_000009018048,M64828960,timing_captured_after_cutoff,False,599938,599938,,2025-09-15 22:55:16,,,,,
pay_000009018049,M43750781,timing_captured_after_cutoff,False,150044,150044,,2025-09-15 23:45:25,,,,,
pay_000009018050,M37085072,timing_captured_after_cutoff,False,49937,49937,,2025-09-15 23:41:27,,,,,
pay_000009018051,M74361119,timing_captured_after_cutoff,False,99917,99917,,2025-09-15 19:05:10,,,,,
pay_000009018052,M54740498,timing_captured_after_cutoff,False,19935,19935,,2025-09-15 19:39:25,,,,,
pay_000009018053,M10116189,timing_captured_after_cutoff,False,9926,9926,,2025-09-15 23:11:06,,,,,
pay_000009018054,M62759474,timing_captured_after_cutoff,False,19985,19985,,2025-09-15 22:53:41,,,,,
pay_000009018055,M26087418,timing_captured_after_cutoff,False,49904,49904,,2025-09-15 22:33:11,,,,,
pay_000009018056,M62798018,timing_captured_after_cutoff,False,599911,599911,,2025-09-15 18:55:41,,,,,
pay_000009018057,M98721314,timing_captured_after_cutoff,False,49918,49918,,2025-09-15 23:36:42,,,,,
pay_000009018058,M62798018,timing_captured_after_cutoff,False,19983,19983,,2025-09-15 22:18:32,,,,,
pay_000009018059,M46703582,timing_captured_after_cutoff,False,199981,199981,,2025-09-15 22:10:27,,,,,
pay_000009018060,M75916217,timing_captured_after_cutoff,False,199933,199933,,2025-09-15 20:19:04,,,,,
pay_000009018061,M91974410,timing_captured_after_cutoff,False,9962,9962,,2025-09-15 22:57:16,,,,,
pay_000009018062,M68989250,timing_captured_after_cutoff,False,349904,349904,,2025-09-15 18:46:24,,,,,
pay_000009018063,M86171298,timing_captured_after_cutoff,False,49986,49986,,2025-09-15 20:06:17,,,,,
pay_000009018064,M76002579,timing_captured_after_cutoff,False,599977,599977,,2025-09-15 21:07:05,,,,,
pay_000009018065,M78736512,timing_captured_after_cutoff,False,150087,150087,,2025-09-15 20:14:22,,,,,
pay_000009018066,M73661612,timing_captured_after_cutoff,False,599998,599998,,2025-09-15 23:06:58,,,,,
pay_000009018067,M73224578,timing_captured_after_cutoff,False,19927,19927,,2025-09-15 18:12:39,,,,,
pay_000009018068,M98793572,timing_captured_after_cutoff,False,49982,49982,,2025-09-15 21:15:33,,,,,
pay_000009018069,M98721314,timing_captured_after_cutoff,False,1249944,1249944,,2025-09-15 23:07:04,,,,,
pay_000009018070,M64669408,timing_captured_after_cutoff,False,199953,199953,,2025-09-15 23:05:46,,,,,
pay_000009018071,M14431382,timing_captured_after_cutoff,False,349977,349977,,2025-09-15 22:13:31,,,,,
pay_000009018072,M49098767,timing_captured_after_cutoff,False,599906,599906,,2025-09-15 19:52:04,,,,,
pay_000009018073,M86171298,timing_captured_after_cutoff,False,349932,349932,,2025-09-15 23:23:14,,,,,
pay_000009018074,M79374858,timing_captured_after_cutoff,False,599907,599907,,2025-09-15 21:01:57,,,,,
pay_000009018075,M51666375,timing_captured_after_cutoff,False,349971,349971,,2025-09-15 19:03:31,,,,,
pay_000009018076,M84613085,timing_captured_after_cutoff,False,199906,199906,,2025-09-15 20:57:36,,,,,
pay_000009018077,M73224578,timing_captured_after_cutoff,False,150023,150023,,2025-09-15 22:43:36,,,,,
pay_000009018078,M68224272,timing_captured_after_cutoff,False,9926,9926,,2025-09-15 22:19:34,,,,,
pay_000009018079,M66632544,timing_captured_after_cutoff,False,599959,599959,,2025-09-15 22:08:05,,,,,
pay_000009018080,M56234030,timing_captured_after_cutoff,False,9920,9920,,2025-09-15 22:53:08,,,,,
pay_000009018081,M60222563,timing_captured_after_cutoff,False,19903,19903,,2025-09-15 23:08:53,,,,,
pay_000009018082,M70993207,timing_captured_after_cutoff,False,349954,349954,,2025-09-15 19:40:17,,,,,
pay_000009018083,M49186036,timing_captured_after_cutoff,False,9958,9958,,2025-09-15 22:45:04,,,,,
pay_000009018084,M96048437,timing_captured_after_cutoff,False,1249979,1249979,,2025-09-15 20:39:50,,,,,
pay_000009018085,M25550771,timing_captured_after_cutoff,False,1249944,1249944,,2025-09-15 22:27:00,,,,,
pay_000009018086,M72809088,timing_captured_after_cutoff,False,150006,150006,,2025-09-15 19:17:17,,,,,
pay_000009018087,M92516134,timing_captured_after_cutoff,False,349900,349900,,2025-09-15 21:04:02,,,,,
pay_000009018088,M93619349,timing_captured_after_cutoff,False,1249903,1249903,,2025-09-15 21:29:47,,,,,
pay_000009018089,M80826716,timing_captured_after_cutoff,False,24962,24962,,2025-09-15 18:50:41,,,,,
